site_name,catchment,catchment_id
Bangladesh,Baliakandi,001
Bangladesh,Faridpur,002
Bangladesh,Faridpur,003
Bangladesh,Faridpur,004
Bangladesh,Faridpur,005
Bangladesh,Faridpur,006
Bangladesh,Faridpur,007
Ethiopia,Harar,001
Ethiopia,Haramaya,002
Ethiopia,Kersa,003
Kenya,Manyatta,001
Kenya,Siaya,002
Mali,Bamako,001
Mali,Bamako,002
Mozambique,Manhica,001
Mozambique,Quelimane,003
Sierra Leone,Makeni,001
South Africa,Soweto,002
