site,catchment,year,live_births
S6,C1,2017,4787
S6,C1,2018,4078
S6,C1,2019,5193
S6,C1,2020,5090
S5,C4,2020,3210
S5,C3,2019,469
S5,C3,2020,768
S5,C5,2019,2553
S5,C5,2020,4017
S7,C6,2017,1196
S7,C6,2018,1233
S7,C6,2019,1158
S7,C6,2020,1196
S7,C7,2017,1933
S7,C7,2018,2050
S7,C7,2019,1988
S7,C7,2020,1990
S2,C8,2017,6708
S2,C8,2018,6624
S2,C8,2019,7602
S2,C8,2020,6978
S3,C9,2017,5459
S3,C9,2018,5615
S3,C9,2019,5567
S3,C9,2020,5248
S4,C12,2017,3000
S4,C12,2018,2236
S4,C12,2019,1069
S4,C12,2020,1233
